Episodes,Cumulative Number of Goals
883,212.0
884,212.0
885,213.0
886,214.0
887,215.0
888,215.0
889,216.0
890,216.0
891,216.0
892,216.0
893,217.0
894,217.0
895,217.0
896,217.0
897,218.0
898,218.0
899,218.0
900,218.0
901,218.0
902,218.0
903,219.0
904,220.0
905,221.0
906,221.0
907,221.0
908,222.0
909,222.0
910,222.0
911,222.0
912,222.0
913,222.0
914,223.0
915,224.0
916,224.0
917,225.0
918,226.0
919,227.0
920,227.0
921,227.0
922,228.0
923,228.0
924,229.0
925,230.0
926,231.0
927,231.0
928,232.0
929,232.0
930,232.0
931,232.0
932,233.0
933,233.0
934,233.0
935,233.0
936,233.0
937,233.0
938,234.0
939,234.0
940,234.0
941,234.0
942,234.0
943,234.0
944,234.0
945,234.0
946,235.0
947,235.0
948,236.0
949,236.0
950,237.0
951,237.0
952,238.0
953,238.0
954,239.0
955,239.0
956,239.0
957,239.0
958,240.0
959,241.0
960,242.0
961,243.0
962,244.0
963,244.0
964,244.0
965,244.0
966,244.0
967,244.0
968,245.0
969,246.0
970,246.0
971,247.0
972,248.0
973,249.0
974,250.0
975,251.0
976,252.0
977,253.0
978,253.0
979,254.0
980,254.0
981,254.0
982,255.0
983,256.0
984,256.0
985,256.0
986,256.0
987,257.0
988,257.0
989,257.0
990,258.0
991,258.0
992,258.0
993,258.0
994,258.0
995,259.0
996,260.0
997,261.0
998,262.0
999,262.0
1000,262.0
1001,263.0
1002,264.0
1003,264.0
1004,265.0
1005,265.0
1006,265.0
1007,265.0
1008,265.0
1009,265.0
1010,266.0
1011,266.0
1012,267.0
1013,267.0
1014,267.0
1015,268.0
1016,268.0
1017,269.0
1018,269.0
1019,269.0
1020,270.0
1021,270.0
1022,270.0
1023,270.0
1024,270.0
1025,270.0
1026,270.0
1027,270.0
1028,270.0
1029,270.0
1030,270.0
1031,271.0
1032,272.0
1033,273.0
1034,274.0
1035,274.0
1036,275.0
1037,275.0
1038,275.0
1039,275.0
1040,275.0
1041,275.0
1042,275.0
1043,275.0
1044,276.0
1045,277.0
1046,277.0
1047,278.0
1048,278.0
1049,279.0
1050,280.0
1051,281.0
1052,281.0
1053,281.0
1054,281.0
1055,281.0
1056,281.0
1057,281.0
