Steps,Robot Y Coordinates
185,-0.5360226631164551
186,-0.5645577311515808
187,-0.5915142893791199
188,-0.6134076714515686
189,-0.6374753713607788
190,-0.6631107926368713
191,-0.6911970376968384
192,-0.7260082364082336
193,-0.7681970596313477
194,-0.8190039992332458
195,-0.874012291431427
196,-0.9188969135284424
197,-0.9517543315887451
198,-0.9794312119483948
199,-0.9952378273010254
200,-1.006698727607727
201,-1.0302265882492065
202,-0.0001386590738547966
203,-0.0015355078503489494
204,-0.009550281800329685
205,-0.03243265300989151
206,-0.07291259616613388
207,-0.12471945583820343
208,-0.16779810190200806
209,-0.21163862943649292
210,-0.2485387623310089
211,-0.28878054022789
212,-0.32055386900901794
213,-0.368132084608078
214,-0.41768360137939453
215,-0.4620257616043091
216,-0.4909176230430603
217,-0.5120469927787781
218,-0.5368087887763977
219,-0.5475964546203613
220,-0.5450341701507568
221,-0.5249711871147156
222,-0.48715388774871826
223,-0.4483056664466858
224,-0.4130305349826813
225,-0.3923558294773102
226,-0.39135488867759705
227,-0.38622215390205383
228,-0.3732856512069702
229,-0.3679367005825043
230,-0.35035693645477295
231,-0.3192082643508911
232,-0.2881413996219635
233,-0.2607017457485199
234,-0.23331090807914734
235,-0.1928970366716385
236,-0.14608481526374817
237,-0.09798430651426315
238,-0.05792729929089546
239,-0.02827264927327633
240,-0.008841468952596188
241,0.018023865297436714
242,0.05500926077365875
243,0.10818660259246826
244,0.15509213507175446
245,0.19308102130889893
246,0.22218865156173706
247,0.24662649631500244
248,0.26626765727996826
249,0.2850322127342224
250,0.3265655040740967
251,0.38297486305236816
252,0.4360198974609375
253,-8.848936704453081e-05
254,-0.010889154858887196
255,-0.027864137664437294
256,-0.04361123964190483
257,-0.045948341488838196
258,-0.03307061642408371
259,-0.01380823366343975
260,0.018601948395371437
261,0.06408943980932236
262,0.09949764609336853
263,0.14341016113758087
264,0.186800017952919
265,0.21406100690364838
266,0.22389046847820282
267,0.22630368173122406
268,0.22633202373981476
269,0.23151305317878723
270,0.24307696521282196
271,0.2447229027748108
272,0.24481108784675598
273,0.24770000576972961
274,0.25907453894615173
275,0.2832062542438507
276,0.3079430162906647
277,0.3141733407974243
278,0.3280025124549866
279,0.3484557867050171
280,0.37102389335632324
281,0.3950260579586029
282,0.42380592226982117
283,0.44720587134361267
284,0.470109224319458
285,0.49470430612564087
286,0.5344541072845459
287,0.577976644039154
288,0.5976291298866272
289,0.6034325957298279
290,0.6080143451690674
291,0.6082001328468323
292,0.6092939376831055
293,0.6108528971672058
294,0.6089145541191101
295,0.5974254012107849
296,-0.0010012255515903234
297,-0.0029596886597573757
298,-0.002272815676406026
299,0.001317514106631279
300,0.01603928580880165
301,0.043761540204286575
302,0.07165020704269409
303,0.11174340546131134
304,0.1379058063030243
305,0.14643794298171997
306,0.15765365958213806
307,0.16458383202552795
308,0.1855003386735916
309,0.21308617293834686
310,0.2390526831150055
