Steps,Headings
119,-2.3499999046325684
120,-2.1679999828338623
121,-2.1089999675750732
122,-2.2320001125335693
123,-2.3910000324249268
124,-2.565999984741211
125,-2.7690000534057617
126,-3.117000102996826
127,-3.010999917984009
128,-2.628999948501587
129,-2.4730000495910645
130,-2.4049999713897705
131,-2.3610000610351562
132,-2.492000102996826
133,-2.5439999103546143
134,-2.513000011444092
135,1.5460000038146973
136,1.409000039100647
137,1.2829999923706055
138,1.4240000247955322
139,1.5750000476837158
140,1.8259999752044678
141,2.305999994277954
142,2.734999895095825
143,2.9730000495910645
144,3.121999979019165
145,-2.9690001010894775
146,-2.634000062942505
147,-2.3570001125335693
148,-2.0
149,-1.6799999475479126
150,-1.5460000038146973
151,-1.2790000438690186
152,-1.0700000524520874
153,-0.7860000133514404
154,-0.34299999475479126
155,-0.07000000029802322
156,0.22100000083446503
157,0.6169999837875366
158,0.75
159,0.6869999766349792
160,0.546999990940094
161,0.4749999940395355
162,0.3059999942779541
163,0.27900001406669617
164,0.382999986410141
165,0.3869999945163727
166,0.43299999833106995
167,0.39399999380111694
168,0.38199999928474426
169,0.3799999952316284
170,0.3479999899864197
171,0.3630000054836273
172,0.5329999923706055
173,0.7129999995231628
174,0.7239999771118164
175,0.6830000281333923
176,0.7390000224113464
177,0.7889999747276306
178,0.6700000166893005
179,0.7369999885559082
180,0.9279999732971191
181,1.031000018119812
182,0.9729999899864197
183,0.847000002861023
184,0.871999979019165
185,0.8830000162124634
186,0.890999972820282
187,0.6129999756813049
188,0.3440000116825104
189,0.06499999761581421
190,0.009999999776482582
191,-0.03200000151991844
192,0.2840000092983246
193,0.7730000019073486
194,1.2899999618530273
195,1.5809999704360962
196,1.5160000324249268
197,1.3380000591278076
198,0.996999979019165
199,0.8169999718666077
200,0.8970000147819519
201,1.125
202,-1.3969999551773071
203,-1.4179999828338623
204,-1.434000015258789
205,-1.5080000162124634
206,-1.5329999923706055
207,-1.5369999408721924
208,-1.5700000524520874
209,-1.7269999980926514
210,-1.8530000448226929
211,-2.1029999256134033
212,-2.380000114440918
213,-2.549999952316284
214,-2.5899999141693115
215,-2.878999948501587
216,-3.140000104904175
217,3.058000087738037
218,2.9779999256134033
219,2.7279999256134033
220,2.365999937057495
221,1.9839999675750732
222,1.684999942779541
223,1.2860000133514404
224,0.9020000100135803
225,0.8420000076293945
226,0.843999981880188
227,0.9049999713897705
228,1.0570000410079956
229,0.9959999918937683
230,0.9070000052452087
231,0.7490000128746033
232,0.39100000262260437
233,0.1860000044107437
234,0.4259999990463257
235,0.8840000033378601
236,1.1690000295639038
237,1.1200000047683716
238,0.8989999890327454
239,0.7979999780654907
240,0.6759999990463257
241,0.7919999957084656
242,1.1349999904632568
243,1.4759999513626099
244,1.9290000200271606
245,2.2709999084472656
246,2.2119998931884766
247,1.8370000123977661
248,1.559999942779541
249,1.496999979019165
250,1.5290000438690186
251,1.534999966621399
252,1.3279999494552612
253,-0.7440000176429749
254,-0.6010000109672546
255,-0.32499998807907104
256,0.03999999910593033
257,0.43799999356269836
258,0.7839999794960022
259,0.9599999785423279
260,1.3630000352859497
261,1.6369999647140503
262,1.847000002861023
263,2.059000015258789
264,1.9420000314712524
265,1.9179999828338623
266,2.0250000953674316
267,2.052999973297119
268,2.053999900817871
269,1.9839999675750732
270,1.8279999494552612
271,1.8079999685287476
272,1.8070000410079956
273,1.7949999570846558
274,1.8270000219345093
275,2.01200008392334
276,2.0369999408721924
277,1.9600000381469727
278,1.7680000066757202
279,1.4570000171661377
280,1.180999994277954
281,1.3029999732971191
282,1.6269999742507935
283,1.8539999723434448
284,1.9730000495910645
285,2.259000062942505
286,2.6089999675750732
287,2.9179999828338623
288,-3.0369999408721924
289,-2.8980000019073486
290,-2.744999885559082
291,-2.73799991607666
292,-2.683000087738037
293,-2.546999931335449
294,-2.3499999046325684
295,-2.114000082015991
296,2.803999900817871
297,2.634999990463257
298,2.4030001163482666
299,2.2100000381469727
300,1.9620000123977661
301,1.7400000095367432
302,1.472000002861023
303,1.1959999799728394
304,0.9919999837875366
305,1.0180000066757202
306,1.149999976158142
307,1.2319999933242798
308,1.4869999885559082
309,1.871999979019165
310,2.309000015258789
311,2.5250000953674316
312,2.4590001106262207
313,2.3499999046325684
314,2.0360000133514404
315,1.5609999895095825
316,1.1380000114440918
317,0.9110000133514404
318,1.1059999465942383
319,1.3140000104904175
320,1.1690000295639038
321,0.8999999761581421
322,0.6069999933242798
323,0.29499998688697815
324,0.2370000034570694
325,0.23899999260902405
326,0.33500000834465027
327,3.0850000381469727
328,3.0810000896453857
329,3.049999952316284
330,3.068000078201294
331,3.055000066757202
332,2.7929999828338623
333,2.4600000381469727
334,2.127000093460083
335,1.965000033378601
336,1.5230000019073486
337,1.090000033378601
338,0.8999999761581421
339,0.8949999809265137
340,0.9710000157356262
341,1.1890000104904175
342,1.5420000553131104
343,2.0190000534057617
344,2.3910000324249268
