Episodes,Goal Rates
141,0.907800018787384
142,0.9085000157356262
143,0.9090999960899353
144,0.9096999764442444
145,0.9103000164031982
146,0.9110000133514404
147,0.9115999937057495
148,0.9121999740600586
149,0.9128000140190125
150,0.9132999777793884
151,0.9139000177383423
152,0.9144999980926514
153,0.9150000214576721
154,0.9156000018119812
155,0.916100025177002
156,0.916700005531311
157,0.9172000288963318
158,0.9176999926567078
159,0.9182000160217285
160,0.9186999797821045
161,0.9193000197410583
162,0.9197999835014343
163,0.920199990272522
164,0.9207000136375427
165,0.9211999773979187
166,0.9217000007629395
167,0.9222000241279602
168,0.9225999712944031
169,0.9230999946594238
170,0.9235000014305115
171,0.9240000247955322
172,0.9243999719619751
173,0.9248999953269958
174,0.9253000020980835
175,0.9257000088691711
176,0.9261000156402588
177,0.9265999794006348
178,0.9269999861717224
179,0.9273999929428101
180,0.9277999997138977
181,0.9282000064849854
182,0.928600013256073
183,0.9290000200271606
184,0.9293000102043152
185,0.9297000169754028
186,0.9301000237464905
187,0.9304999709129333
188,0.930899977684021
189,0.9312000274658203
190,0.9315999746322632
191,0.9319000244140625
192,0.9322999715805054
193,0.9326000213623047
194,0.9330000281333923
195,0.9333000183105469
196,0.9337000250816345
197,0.9340000152587891
198,0.9343000054359436
199,0.9347000122070312
200,0.9350000023841858
201,0.9352999925613403
202,0.9355999827384949
203,0.9359999895095825
204,0.9362999796867371
205,0.9366000294685364
206,0.9369000196456909
207,0.9372000098228455
208,0.9375
209,0.9377999901771545
210,0.9380999803543091
211,0.9383999705314636
212,0.9387000203132629
213,0.9390000104904175
214,0.939300000667572
215,0.9394999742507935
216,0.9398000240325928
217,0.9401000142097473
218,0.9404000043869019
219,0.9405999779701233
220,0.9409000277519226
221,0.9412000179290771
222,0.9413999915122986
223,0.9416999816894531
224,0.9419999718666077
225,0.9422000050544739
226,0.9424999952316284
227,0.9427000284194946
228,0.9430000185966492
229,0.9431999921798706
230,0.9434999823570251
231,0.9437000155448914
232,0.9440000057220459
233,0.9441999793052673
234,0.9444000124931335
235,0.9447000026702881
236,0.9448999762535095
237,0.9451000094413757
238,0.9453999996185303
239,0.9455999732017517
240,0.9458000063896179
241,0.9460999965667725
242,0.9463000297546387
243,0.9465000033378601
244,0.9466999769210815
245,0.9469000101089478
246,0.9472000002861023
247,0.9473999738693237
248,0.9476000070571899
249,0.9477999806404114
250,0.9480000138282776
251,0.948199987411499
252,0.9484000205993652
253,0.9485999941825867
254,0.9488000273704529
255,0.9490000009536743
256,0.9491999745368958
257,0.949400007724762
258,0.9495999813079834
259,0.9498000144958496
260,0.949999988079071
261,0.9502000212669373
262,0.9503999948501587
263,0.9506000280380249
264,0.9508000016212463
265,0.9509000182151794
266,0.9510999917984009
267,0.9513000249862671
268,0.9514999985694885
269,0.95169997215271
270,0.9519000053405762
271,0.9520000219345093
272,0.9521999955177307
273,0.9524000287055969
274,0.9526000022888184
275,0.9527000188827515
276,0.9528999924659729
277,0.9531000256538391
278,0.9531999826431274
279,0.9534000158309937
280,0.9535999894142151
281,0.9537000060081482
282,0.9538999795913696
283,0.9541000127792358
284,0.954200029373169
285,0.9544000029563904
286,0.9545000195503235
287,0.9546999931335449
288,0.9549000263214111
289,0.9549999833106995
290,0.9552000164985657
291,0.955299973487854
292,0.9555000066757202
293,0.9556000232696533
294,0.9557999968528748
295,0.9559000134468079
296,0.9560999870300293
297,0.9562000036239624
298,0.9563999772071838
299,0.9564999938011169
300,0.9567000269889832
301,0.9567999839782715
302,0.9570000171661377
303,0.957099974155426
304,0.9571999907493591
305,0.9574000239372253
